location,population,date,HighestInfectionCount,PercentPopulationInfected
San Marino,33938,2/14/2021,3278,9.65878955742825
Israel,8655541,4/11/2021,835933,9.65777875698353
Israel,8655541,4/10/2021,835813,9.65639236184081
Israel,8655541,4/9/2021,835674,9.65478645413383
Israel,8655541,4/8/2021,835486,9.65261443507691
Israel,8655541,4/7/2021,835216,9.64949504600579
Slovenia,2078932,3/15/2021,200579,9.64817512068697
United States,331002647,4/22/2021,31929351,9.64625246637378
Israel,8655541,4/6/2021,834920,9.64607527132042
Bahrain,1701583,4/18/2021,164110,9.64454863500634
Israel,8655541,4/5/2021,834603,9.64241287748507
Sweden,10099270,4/30/2021,973604,9.64034034143062
Slovenia,2078932,3/14/2021,200374,9.63831428829803
Israel,8655541,4/4/2021,834247,9.63829990522834
Andorra,77265,12/16/2020,7446,9.63696369636964
Israel,8655541,4/3/2021,834070,9.63625497239283
Israel,8655541,4/2/2021,833707,9.63206112708611
Israel,8655541,4/1/2021,833456,9.62916125057925
United States,331002647,4/21/2021,31862094,9.62593329351834
Israel,8655541,3/31/2021,833105,9.6251060447868
Serbia,6804596,4/15/2021,654870,9.62393652760575
Israel,8655541,3/30/2021,832639,9.61972221031591
Czechia,10708982,2/6/2021,1030112,9.6191402693552
Luxembourg,625976,3/25/2021,60205,9.61778087338812
Israel,8655541,3/29/2021,832125,9.61378381778793
Slovenia,2078932,3/13/2021,199854,9.61330144516511
Israel,8655541,3/28/2021,831924,9.61146160592388
United States,331002647,4/20/2021,31799237,9.60694341516852
Israel,8655541,3/26/2021,831383,9.60521127448879
Israel,8655541,3/27/2021,831383,9.60521127448879
Montenegro,628062,1/28/2021,60288,9.59905232285985
Israel,8655541,3/25/2021,830845,9.59899560293227
Israel,8655541,3/24/2021,830028,9.58955656266893
United States,331002647,4/19/2021,31737964,9.58843208284071
Bahrain,1701583,4/17/2021,163113,9.58595613613911
Israel,8655541,3/23/2021,829689,9.58563999639075
Sweden,10099270,4/29/2021,967678,9.58166283305625
Serbia,6804596,4/14/2021,651899,9.58027486128493
Israel,8655541,3/22/2021,828764,9.57495320049896
Slovenia,2078932,3/12/2021,199004,9.57241506696708
Luxembourg,625976,3/24/2021,59907,9.57017521438522
United States,331002647,4/18/2021,31670031,9.56790868201123
San Marino,33938,2/11/2021,3247,9.56744652012493
Israel,8655541,3/21/2021,827772,9.56349233398582
Israel,8655541,3/20/2021,827220,9.55711491632932
United States,331002647,4/17/2021,31628013,9.55521452370742
Andorra,77265,12/14/2020,7382,9.55413188377661
Andorra,77265,12/15/2020,7382,9.55413188377661
Israel,8655541,3/19/2021,826609,9.55005585439431
United States,331002647,4/16/2021,31575640,9.5393919916296
Czechia,10708982,2/5/2021,1021477,9.53850702148906
Israel,8655541,3/18/2021,825562,9.53795955677409
Slovenia,2078932,3/11/2021,198234,9.5353768184818
Serbia,6804596,4/13/2021,648745,9.53392383618366
Luxembourg,625976,3/23/2021,59662,9.53103633366135
Bahrain,1701583,4/16/2021,162089,9.52577687952924
Montenegro,628062,1/27/2021,59825,9.52533348618448
Israel,8655541,3/17/2021,824178,9.52196979946141
United States,331002647,4/15/2021,31495649,9.51522571962997
Sweden,10099270,4/28/2021,960520,9.51078642317712
Israel,8655541,3/16/2021,822703,9.50492869249883
Luxembourg,625976,3/22/2021,59497,9.50467749562284
Andorra,77265,12/13/2020,7338,9.49718501261891
Slovenia,2078932,3/10/2021,197374,9.49400942406967
United States,331002647,4/14/2021,31421360,9.49278209246466
Israel,8655541,3/15/2021,820913,9.48424829828661
Serbia,6804596,4/12/2021,645173,9.48142990414126
United States,331002647,4/13/2021,31345985,9.47001037124637
San Marino,33938,2/10/2021,3213,9.46726383405033
Czechia,10708982,2/4/2021,1013352,9.46263613105335
Israel,8655541,3/14/2021,818977,9.46188112331742
Bahrain,1701583,4/15/2021,160934,9.45789890942728
Israel,8655541,3/13/2021,817799,9.44827134433307
Slovenia,2078932,3/9/2021,196421,9.44816857886646
United States,331002647,4/12/2021,31268107,9.44648246272182
Sweden,10099270,4/27/2021,953254,9.43884062907517
Serbia,6804596,4/11/2021,642208,9.43785641351816
Montenegro,628062,1/26/2021,59262,9.43569265454684
Andorra,77265,12/12/2020,7288,9.43247265903061
Israel,8655541,3/12/2021,816198,9.42977452247063
United States,331002647,4/11/2021,31197877,9.42526510973793
Luxembourg,625976,3/19/2021,58955,9.41809270642964
Luxembourg,625976,3/20/2021,58955,9.41809270642964
Luxembourg,625976,3/21/2021,58955,9.41809270642964
Slovenia,2078932,3/8/2021,195678,9.41242907415923
United States,331002647,4/10/2021,31151497,9.41125313719923
Israel,8655541,3/11/2021,814250,9.40726870798717
Slovenia,2078932,3/7/2021,195468,9.40232773366325
Bahrain,1701583,4/14/2021,159964,9.40089316830269
Serbia,6804596,4/10/2021,639476,9.3977070791565
United States,331002647,4/9/2021,31084962,9.39115208948767
San Marino,33938,2/9/2021,3187,9.39065354469916
Slovenia,2078932,3/6/2021,195086,9.38395291428484
Israel,8655541,3/10/2021,811492,9.37540472629036
Luxembourg,625976,3/18/2021,58674,9.37320280649737
Czechia,10708982,2/3/2021,1003657,9.37210465009653
United States,331002647,4/8/2021,31002264,9.3661679992547
Andorra,77265,12/11/2020,7236,9.36517181129878
Serbia,6804596,4/9/2021,636418,9.35276686521874
Montenegro,628062,1/25/2021,58697,9.34573338300996
United States,331002647,4/7/2021,30922386,9.34203586595487
Slovenia,2078932,3/5/2021,194165,9.33965132096673
Israel,8655541,3/9/2021,808262,9.33808759036552
Bahrain,1701583,4/13/2021,158789,9.33183982209507
Luxembourg,625976,3/17/2021,58408,9.33070916456861
United States,331002647,4/6/2021,30847348,9.31936595661122
Andorra,77265,12/10/2020,7190,9.30563644599754
Serbia,6804596,4/8/2021,633013,9.30272715676287
Israel,8655541,3/8/2021,805116,9.30174093104059
United States,331002647,4/5/2021,30786804,9.301074864214
Slovenia,2078932,3/4/2021,193285,9.29732189412641
Sweden,10099270,4/23/2021,938343,9.29119629438563
Sweden,10099270,4/24/2021,938343,9.29119629438563
Sweden,10099270,4/25/2021,938343,9.29119629438563
Sweden,10099270,4/26/2021,938343,9.29119629438563
Czechia,10708982,2/2/2021,994514,9.28672772071146
Montenegro,628062,1/24/2021,58316,9.28507058220367
Luxembourg,625976,3/16/2021,58111,9.28326325609927
United States,331002647,4/4/2021,30709125,9.27760707605459
Bahrain,1701583,4/12/2021,157729,9.26954488849501
Andorra,77265,12/9/2020,7162,9.26939752798809
United States,331002647,4/3/2021,30674153,9.26704160163408
Israel,8655541,3/7/2021,801575,9.26083072103754
Luxembourg,625976,3/15/2021,57926,9.25370940738942
Serbia,6804596,4/7/2021,629388,9.24945433939061
Slovenia,2078932,3/3/2021,192266,9.24830634191017
United States,331002647,4/2/2021,30611086,9.24798827968285
San Marino,33938,2/8/2021,3137,9.24332606517768
Israel,8655541,3/6/2021,799727,9.23948023583968
Sweden,10099270,4/22/2021,932076,9.22914230434477
United States,331002647,4/1/2021,30541255,9.22689146954163
Andorra,77265,12/8/2020,7127,9.22409888047628
Montenegro,628062,1/23/2021,57929,9.22345246169964
Czechia,10708982,2/1/2021,987329,9.21963450867692
San Marino,33938,2/6/2021,3127,9.21386056927338
San Marino,33938,2/7/2021,3127,9.21386056927338
United States,331002647,3/31/2021,30462210,9.20301099586071
Israel,8655541,3/5/2021,796465,9.20179339454345
Estonia,1326539,4/30/2021,122019,9.19829722307448
Serbia,6804596,4/6/2021,625773,9.19632848151455
Czechia,10708982,1/31/2021,984774,9.19577603174606
Bahrain,1701583,4/11/2021,156462,9.19508481220134
Slovenia,2078932,3/2/2021,191056,9.19010338000473
Luxembourg,625976,3/12/2021,57503,9.18613493169067
Luxembourg,625976,3/13/2021,57503,9.18613493169067
Luxembourg,625976,3/14/2021,57503,9.18613493169067
United States,331002647,3/30/2021,30395171,9.18275768350578
Estonia,1326539,4/29/2021,121657,9.17100816485607
Andorra,77265,12/7/2020,7084,9.16844625639034
San Marino,33938,2/4/2021,3111,9.16671577582651
San Marino,33938,2/5/2021,3111,9.16671577582651
Israel,8655541,3/4/2021,793407,9.16646342498984
United States,331002647,3/29/2021,30333922,9.16425360187527
Czechia,10708982,1/30/2021,980714,9.15786393141757
Luxembourg,625976,3/11/2021,57321,9.15706033458152
Slovenia,2078932,3/1/2021,190324,9.15489299313301
Sweden,10099270,4/21/2021,924340,9.1525427085324
Montenegro,628062,1/22/2021,57482,9.15228114421825
United States,331002647,3/28/2021,30264493,9.14327824091389
Slovenia,2078932,2/28/2021,190081,9.14320429913051
Estonia,1326539,4/28/2021,121232,9.13896990589798
Bahrain,1701583,4/10/2021,155402,9.13278987860128
Serbia,6804596,4/5/2021,621375,9.13169569508609
United States,331002647,3/27/2021,30221396,9.13025810334381
Andorra,77265,12/6/2020,7050,9.1244418559503
Slovenia,2078932,2/27/2021,189627,9.12136616301062
Israel,8655541,3/3/2021,789485,9.12115141040866
San Marino,33938,2/3/2021,3094,9.1166244327892
Luxembourg,625976,3/10/2021,57056,9.11472644318632
United States,331002647,3/26/2021,30158696,9.11131565663884
Estonia,1326539,4/27/2021,120836,9.10911778696292
United States,331002647,3/25/2021,30081375,9.08795602471421
Lithuania,2722291,4/30/2021,247269,9.0831215325621
Czechia,10708982,1/29/2021,972642,9.0824879526364
Sweden,10099270,4/20/2021,916830,9.07818089822334
Luxembourg,625976,3/9/2021,56822,9.07734481833169
Serbia,6804596,4/4/2021,617669,9.07723250579461
Slovenia,2078932,2/26/2021,188676,9.07562152105023
Montenegro,628062,1/21/2021,56998,9.07521868860081
Estonia,1326539,4/26/2021,120378,9.07459185142691
Israel,8655541,3/2/2021,785218,9.07185350979217
United States,331002647,3/24/2021,30013910,9.06757401248214
Bahrain,1701583,4/9/2021,154280,9.06685127907366
Andorra,77265,12/5/2020,7005,9.06620073772083
Estonia,1326539,4/25/2021,120215,9.06230423681475
Luxembourg,625976,3/8/2021,56677,9.05418099096451
Estonia,1326539,4/24/2021,120000,9.04609664698889
United States,331002647,3/23/2021,29926950,9.04130231925305
San Marino,33938,2/2/2021,3066,9.03412104425717
Lithuania,2722291,4/29/2021,245896,9.03268607213557
Slovenia,2078932,2/25/2021,187762,9.03165663908199
Serbia,6804596,4/3/2021,614365,9.02867708825035
United States,331002647,3/22/2021,29873347,9.02510818893844
Estonia,1326539,4/23/2021,119610,9.01669683288618
Israel,8655541,3/1/2021,779958,9.01108318936968
United States,331002647,3/21/2021,29821754,9.00952130452298
Montenegro,628062,1/20/2021,56579,9.00850552970885
Czechia,10708982,1/28/2021,964660,9.00795238987235
Andorra,77265,12/4/2020,6955,9.00148838413253
United States,331002647,3/20/2021,29787986,8.99931957341719
Bahrain,1701583,4/8/2021,153074,8.99597609990227
Slovenia,2078932,2/24/2021,187005,8.99524371167503
Luxembourg,625976,3/5/2021,56296,8.99331603767557
Luxembourg,625976,3/6/2021,56296,8.99331603767557
Luxembourg,625976,3/7/2021,56296,8.99331603767557
Estonia,1326539,4/22/2021,119218,8.98714625050602
Lithuania,2722291,4/28/2021,244555,8.98342609221424
United States,331002647,3/19/2021,29732612,8.98259040206407
Serbia,6804596,4/2/2021,610232,8.96793872847117
United States,331002647,3/18/2021,29670983,8.96397151772626
Luxembourg,625976,3/4/2021,56110,8.96360243843214
Israel,8655541,2/28/2021,775807,8.96312547072448
Estonia,1326539,4/21/2021,118789,8.95480645499303
Montenegro,628062,1/19/2021,56228,8.95261932739125
United States,331002647,3/17/2021,29610445,8.94568223800337
Slovenia,2078932,2/23/2021,185916,8.94286104596014
Andorra,77265,12/3/2020,6904,8.93548178347246
Israel,8655541,2/27/2021,773335,8.93456573078448
Luxembourg,625976,3/3/2021,55902,8.93037432745025
Bahrain,1701583,4/7/2021,151931,8.92880335546371
Czechia,10708982,1/27/2021,956155,8.92853307625319
United States,331002647,3/16/2021,29551309,8.92781651984795
Lithuania,2722291,4/27/2021,242926,8.92358678774606
Estonia,1326539,4/20/2021,118317,8.91922514151487
San Marino,33938,1/31/2021,3025,8.91331251104956
San Marino,33938,2/1/2021,3025,8.91331251104956
Sweden,10099270,4/16/2021,900138,8.91290162556304
Sweden,10099270,4/17/2021,900138,8.91290162556304
Sweden,10099270,4/18/2021,900138,8.91290162556304
Sweden,10099270,4/19/2021,900138,8.91290162556304
United States,331002647,3/15/2021,29497352,8.91151544174811
Israel,8655541,2/26/2021,770780,8.90504706753743
Slovenia,2078932,2/22/2021,185014,8.89947338344881
Serbia,6804596,4/1/2021,605406,8.89701607560537
United States,331002647,3/14/2021,29440686,8.89439594119016
Netherlands,17134873,4/30/2021,1522973,8.88814874787808
Slovenia,2078932,2/21/2021,184767,8.88759228296067
Luxembourg,625976,3/2/2021,55632,8.88724168338722
Montenegro,628062,1/18/2021,55803,8.88495084880155
Lithuania,2722291,4/26/2021,241872,8.88486939860581
United States,331002647,3/13/2021,29402465,8.88284890362221
Estonia,1326539,4/19/2021,117782,8.87889462729705
Israel,8655541,2/25/2021,767726,8.86976331115525
Slovenia,2078932,2/20/2021,184352,8.86763011007575
United States,331002647,3/12/2021,29349533,8.8668574907197
Lithuania,2722291,4/25/2021,241297,8.86374748327787
Bahrain,1701583,4/6/2021,150811,8.86298229354666
Luxembourg,625976,3/1/2021,55480,8.86295960228507
Estonia,1326539,4/18/2021,117554,8.86170704366777
Andorra,77265,12/2/2020,6842,8.85523846502297
United States,331002647,3/11/2021,29288010,8.84827063029499
Netherlands,17134873,4/29/2021,1515165,8.8425808583466
Czechia,10708982,1/26/2021,946946,8.84253984178888
Sweden,10099270,4/15/2021,892480,8.83707436280048
Montenegro,628062,1/17/2021,55493,8.83559266441848
Lithuania,2722291,4/24/2021,240522,8.83527881479239
United States,331002647,3/10/2021,29225536,8.82939646098963
San Marino,33938,1/29/2021,2996,8.8278625729271
San Marino,33938,1/30/2021,2996,8.8278625729271
Serbia,6804596,3/31/2021,600596,8.82632855793349
Israel,8655541,2/24/2021,763756,8.82389673851698
Slovenia,2078932,2/19/2021,183396,8.82164496000831
Estonia,1326539,4/17/2021,117011,8.82077345634015
United States,331002647,3/9/2021,29167616,8.81189811149758
Luxembourg,625976,2/26/2021,55110,8.80385190486536
